"","parl_id","syls","parly","gender","name","wikidataid","constituency","region","msp_type","office_held"
"783",2108,2044957,"5th","M","Ken Macintosh","Q1738887",NA,"West Scotland","Region","The Presiding Officer"
"784",2110,256937,"5th","M","Kenneth Gibson","Q944741","Cunninghame North","West Scotland","Constituency",NA
"785",2117,172224,"5th","M","Lewis Macdonald","Q1822125",NA,"North East Scotland","Region",NA
"786",2117,172224,"5th","M","Lewis Macdonald","Q1822125",NA,"North East Scotland","Region","The Deputy Presiding Officer"
"787",2127,206702,"5th","M","Mark Ruskell","Q1900397",NA,"Mid Scotland and Fife","Region",NA
"788",2133,454966,"5th","M","Michael Matheson","Q121780","Falkirk West","Central Scotland","Constituency","The Cabinet Secretary for Justice"
"789",2133,454966,"5th","M","Michael Matheson","Q121780","Falkirk West","Central Scotland","Constituency","The Cabinet Secretary for Transport, Infrastructure and Connectivity"
"790",2135,519451,"5th","M","Michael Russell","Q1929110","Argyll and Bute","Highlands and Islands","Constituency",NA
"791",2135,519451,"5th","M","Michael Russell","Q1929110","Argyll and Bute","Highlands and Islands","Constituency","The Minister for UK Negotiations on Scotland’s Place in Europe"
"792",2135,519451,"5th","M","Michael Russell","Q1929110","Argyll and Bute","Highlands and Islands","Constituency","The Cabinet Secretary for Government Business and Constitutional Relations"
"793",2135,519451,"5th","M","Michael Russell","Q1929110","Argyll and Bute","Highlands and Islands","Constituency","The Cabinet Secretary for the Constitution, Europe and External Affairs"
"794",2140,160637,"5th","M","Mike Rumbles","Q1436381",NA,"North East Scotland","Region",NA
"795",2180,162501,"5th","M","Richard Lochhead","Q1490268","Moray","Highlands and Islands","Constituency","The Cabinet Secretary for Rural Affairs, Food and Environment"
"796",2180,162501,"5th","M","Richard Lochhead","Q1490268","Moray","Highlands and Islands","Constituency",NA
"797",2180,162501,"5th","M","Richard Lochhead","Q1490268","Moray","Highlands and Islands","Constituency","The Minister for Further Education, Higher Education and Science"
"798",2215,270342,"5th","M","Stewart Stevenson","Q559613","Banffshire and Buchan Coast","North East Scotland","Constituency",NA
"799",2223,168189,"5th","M","Tavish Scott","Q1339371","Shetland Islands","Highlands and Islands","Constituency",NA
"800",2345,97451,"5th","M","John Scott","Q1701702","Ayr","South Scotland","Constituency","The Deputy Presiding Officer"
"801",2345,97451,"5th","M","John Scott","Q1701702","Ayr","South Scotland","Constituency",NA
"802",2394,243233,"5th","M","Murdo Fraser","Q1953630",NA,"Mid Scotland and Fife","Region",NA
"803",2615,130207,"5th","M","George Adam","Q1282862","Paisley","West Scotland","Constituency",NA
"804",2633,229240,"5th","F","Claire Baker","Q744632",NA,"Mid Scotland and Fife","Region",NA
"805",2641,98139,"5th","M","Alasdair Allan","Q559634","Na h-Eileanan an Iar","Highlands and Islands","Constituency","The Minister for Learning, Science and Scotland's Languages"
"806",2641,98139,"5th","M","Alasdair Allan","Q559634","Na h-Eileanan an Iar","Highlands and Islands","Constituency","The Minister for International Development and Europe"
"807",2641,98139,"5th","M","Alasdair Allan","Q559634","Na h-Eileanan an Iar","Highlands and Islands","Constituency",NA
"808",2678,146437,"5th","M","Jackson Carlaw","Q1231522","Eastwood","West Scotland","Constituency",NA
"809",2826,173576,"5th","M","James Dornan","Q509808","Glasgow Cathcart","Glasgow","Constituency",NA
"810",2892,344104,"5th","M","Patrick Harvie","Q2057654",NA,"Glasgow","Region",NA
"811",3061,104594,"5th","F","Margaret Mitchell","Q1894872",NA,"Central Scotland","Region",NA
"812",3129,68643,"5th","M","Bill Kidd","Q862234","Glasgow Anniesland","Glasgow","Constituency",NA
"813",3750,249654,"5th","F","Shirley-Anne Somerville","Q2279359","Dunfermline","Mid Scotland and Fife","Constituency",NA
"814",3750,249654,"5th","F","Shirley-Anne Somerville","Q2279359","Dunfermline","Mid Scotland and Fife","Constituency","The Minister for Further Education, Higher Education and Science"
"815",3750,249654,"5th","F","Shirley-Anne Somerville","Q2279359","Dunfermline","Mid Scotland and Fife","Constituency","The Cabinet Secretary for Social Security and Older People"
"816",3751,62472,"5th","M","Colin Beattie","Q1108343","Midlothian North and Musselburgh","Lothian","Constituency",NA
"817",3758,218829,"5th","M","Jamie Hepburn","Q1681399","Cumbernauld and Kilsyth","Central Scotland","Constituency","The Minister for Sport, Health Improvement and Mental Health"
"818",3758,218829,"5th","M","Jamie Hepburn","Q1681399","Cumbernauld and Kilsyth","Central Scotland","Constituency","The Minister for Employability and Training"
"819",3758,218829,"5th","M","Jamie Hepburn","Q1681399","Cumbernauld and Kilsyth","Central Scotland","Constituency","The Minister for Business, Fair Work and Skills"
"820",3759,228784,"5th","F","Christina McKelvie","Q1083222","Hamilton, Larkhall and Stonehouse","Central Scotland","Constituency",NA
"821",3759,228784,"5th","F","Christina McKelvie","Q1083222","Hamilton, Larkhall and Stonehouse","Central Scotland","Constituency","The Minister for Older People and Equalities"
"822",3763,206369,"5th","M","Stuart McMillan","Q2357916","Greenock and Inverclyde","West Scotland","Constituency",NA
"823",3771,159718,"5th","M","Bob Doris","Q887886","Glasgow Maryhill and Springburn","Glasgow","Constituency",NA
"824",3775,401541,"5th","F","Aileen Campbell","Q405017","Clydesdale","South Scotland","Constituency","The Minister for Children and Young People"
